3.548E-04 = radius(micron) ionized PAH/graphitic solid             
w(micron)   Q_ext     Q_abs     Q_sca    g=<cos>
2.600E+02 3.011E-08 3.011E-08 1.397E-20 0.00E+00
2.570E+02 3.077E-08 3.077E-08 1.462E-20 0.00E+00
2.541E+02 3.145E-08 3.145E-08 1.530E-20 0.00E+00
2.512E+02 3.214E-08 3.214E-08 1.601E-20 0.00E+00
2.483E+02 3.285E-08 3.285E-08 1.675E-20 0.00E+00
2.455E+02 3.357E-08 3.357E-08 1.753E-20 0.00E+00
2.427E+02 3.430E-08 3.430E-08 1.835E-20 0.00E+00
2.399E+02 3.505E-08 3.505E-08 1.920E-20 0.00E+00
2.371E+02 3.582E-08 3.582E-08 2.009E-20 0.00E+00
2.344E+02 3.660E-08 3.660E-08 2.103E-20 0.00E+00
2.317E+02 3.740E-08 3.740E-08 2.200E-20 0.00E+00
2.291E+02 3.821E-08 3.821E-08 2.303E-20 0.00E+00
2.265E+02 3.904E-08 3.904E-08 2.409E-20 0.00E+00
2.239E+02 3.989E-08 3.989E-08 2.521E-20 0.00E+00
2.213E+02 4.076E-08 4.076E-08 2.638E-20 0.00E+00
2.188E+02 4.164E-08 4.164E-08 2.761E-20 0.00E+00
2.163E+02 4.254E-08 4.254E-08 2.889E-20 0.00E+00
2.138E+02 4.346E-08 4.346E-08 3.023E-20 0.00E+00
2.113E+02 4.440E-08 4.440E-08 3.163E-20 0.00E+00
2.089E+02 4.535E-08 4.535E-08 3.310E-20 0.00E+00
2.065E+02 4.633E-08 4.633E-08 3.463E-20 0.00E+00
2.042E+02 4.733E-08 4.733E-08 3.623E-20 0.00E+00
2.018E+02 4.834E-08 4.834E-08 3.791E-20 0.00E+00
1.995E+02 4.938E-08 4.938E-08 3.967E-20 0.00E+00
1.972E+02 5.043E-08 5.043E-08 4.150E-20 0.00E+00
1.950E+02 5.151E-08 5.151E-08 4.342E-20 0.00E+00
1.928E+02 5.261E-08 5.261E-08 4.543E-20 0.00E+00
1.905E+02 5.373E-08 5.373E-08 4.753E-20 0.00E+00
1.884E+02 5.488E-08 5.488E-08 4.973E-20 0.00E+00
1.862E+02 5.604E-08 5.604E-08 5.203E-20 0.00E+00
1.841E+02 5.723E-08 5.723E-08 5.443E-20 0.00E+00
1.820E+02 5.845E-08 5.845E-08 5.694E-20 0.00E+00
1.799E+02 5.968E-08 5.968E-08 5.957E-20 0.00E+00
1.778E+02 6.095E-08 6.095E-08 6.232E-20 0.00E+00
1.758E+02 6.223E-08 6.223E-08 6.520E-20 0.00E+00
1.738E+02 6.354E-08 6.354E-08 6.821E-20 0.00E+00
1.718E+02 6.488E-08 6.488E-08 7.135E-20 0.00E+00
1.698E+02 6.624E-08 6.624E-08 7.464E-20 0.00E+00
1.679E+02 6.763E-08 6.763E-08 7.808E-20 0.00E+00
1.660E+02 6.904E-08 6.904E-08 8.168E-20 0.00E+00
1.641E+02 7.049E-08 7.049E-08 8.544E-20 0.00E+00
1.622E+02 7.196E-08 7.196E-08 8.937E-20 0.00E+00
